epoch,train_mae,test_mae
1,0.8829,2.599,1.5271,8.1178
2,0.7771,2.0965,1.2318,5.8996
3,0.2934,1.4247,0.25,3.1431
4,0.2156,1.151,0.1316,2.1328
5,0.1976,1.0209,0.108,1.6887
6,0.1904,0.967,0.0992,1.5161
7,0.1873,0.9197,0.0955,1.3807
8,0.1853,0.9055,0.0932,1.3416
9,0.1838,0.8819,0.0917,1.2776
10,0.1828,0.8746,0.0907,1.2526
11,0.1822,0.8759,0.0901,1.2639
12,0.1811,0.8601,0.0884,1.2172
13,0.178,0.8515,0.0864,1.1933
14,0.1771,0.8482,0.0857,1.1829
15,0.1766,0.8438,0.0854,1.1713
16,0.1763,0.8424,0.0851,1.1687
17,0.176,0.8386,0.0849,1.1608
18,0.1757,0.8374,0.0847,1.1534
19,0.1755,0.8382,0.0845,1.1544
20,0.1753,0.8349,0.0843,1.1439
21,0.1751,0.8337,0.0841,1.1446
22,0.175,0.8338,0.084,1.143
23,0.1747,0.8323,0.0838,1.1397
24,0.1746,0.8311,0.0837,1.1354
25,0.1743,0.828,0.0835,1.1247
26,0.1741,0.8239,0.0833,1.1179
27,0.1739,0.8252,0.0832,1.1177
28,0.1738,0.8224,0.0831,1.1126
29,0.1736,0.8178,0.0829,1.1028
30,0.1735,0.818,0.0828,1.0997
31,0.1734,0.8181,0.0827,1.0962
32,0.1729,0.8171,0.0822,1.0942
33,0.1727,0.8166,0.0821,1.093
34,0.1727,0.8163,0.082,1.0923
35,0.1726,0.8163,0.082,1.0919
36,0.1725,0.8156,0.082,1.0906
37,0.1725,0.8151,0.0819,1.0898
38,0.1724,0.8146,0.0819,1.0886
39,0.1724,0.8141,0.0819,1.0878
40,0.1724,0.814,0.0818,1.0873
41,0.1723,0.8142,0.0818,1.0872
42,0.1723,0.8139,0.0818,1.0864
43,0.1723,0.8132,0.0818,1.0853
44,0.1722,0.8131,0.0817,1.0845
45,0.1722,0.813,0.0817,1.0841
46,0.1722,0.8126,0.0817,1.0832
47,0.1721,0.812,0.0817,1.0821
48,0.1721,0.8121,0.0817,1.0822
49,0.1721,0.8121,0.0816,1.082
50,0.1721,0.8121,0.0816,1.0819
51,0.172,0.8118,0.0816,1.0818
52,0.172,0.8123,0.0816,1.0826
53,0.172,0.8122,0.0816,1.0825
54,0.172,0.8122,0.0816,1.0819
55,0.172,0.8117,0.0815,1.081
56,0.1719,0.8117,0.0815,1.0803
57,0.1719,0.8115,0.0815,1.0799
58,0.1719,0.8114,0.0815,1.0797
59,0.1719,0.8111,0.0815,1.0791
60,0.1719,0.811,0.0815,1.0792
