epoch,train_mae,test_mae
1,3.5744,3.5886,14.031,14.3036
2,2.3644,1.4758,7.6225,3.3831
3,0.906,1.0752,1.3731,1.9142
4,0.8248,1.0063,1.125,1.7041
5,0.8155,1.0005,1.0956,1.6664
6,0.8192,0.9957,1.1,1.6768
7,0.8214,0.9818,1.1081,1.6468
8,0.8282,0.9934,1.1247,1.6832
9,0.8385,0.9993,1.1536,1.6846
10,0.8443,1.0078,1.1708,1.7172
11,0.8561,1.0202,1.2022,1.7792
12,0.8647,1.0122,1.2319,1.7742
13,0.8746,1.0141,1.2584,1.7956
14,0.8812,1.0255,1.2787,1.8072
15,0.8858,1.0267,1.2971,1.8081
16,0.8946,1.0305,1.3211,1.8286
17,0.9056,1.0404,1.3546,1.8434
18,0.9128,1.0412,1.3825,1.8437
19,0.9204,1.0593,1.4092,1.9215
20,0.9266,1.0543,1.4284,1.9264
21,0.9298,1.0555,1.4404,1.9262
22,0.8098,0.9605,1.0814,1.6059
23,0.7516,0.9414,0.9278,1.5436
24,0.7407,0.9278,0.8995,1.4979
25,0.7357,0.9244,0.8871,1.4806
26,0.7329,0.923,0.8794,1.4699
27,0.7308,0.9223,0.8735,1.4688
28,0.7299,0.919,0.8701,1.4525
29,0.7284,0.9158,0.8665,1.4447
30,0.7277,0.9121,0.8645,1.4365
31,0.7267,0.9143,0.8618,1.4412
32,0.7253,0.9134,0.8589,1.4337
33,0.7256,0.9142,0.8593,1.4365
34,0.7254,0.9142,0.858,1.4369
35,0.724,0.916,0.8547,1.4388
36,0.7246,0.916,0.8561,1.4365
37,0.7239,0.9149,0.8534,1.431
38,0.7242,0.9108,0.8537,1.4206
39,0.7239,0.9114,0.8532,1.4297
40,0.7234,0.9158,0.8515,1.4359
41,0.7232,0.9132,0.8505,1.4265
42,0.6999,0.9103,0.7969,1.4183
43,0.695,0.9078,0.7848,1.4126
44,0.6927,0.9066,0.7793,1.4093
45,0.6913,0.906,0.7762,1.4076
46,0.6903,0.9053,0.7741,1.4053
47,0.6896,0.9047,0.7725,1.4037
48,0.689,0.9046,0.7712,1.403
49,0.6886,0.9042,0.7702,1.4017
50,0.6881,0.9037,0.7692,1.4003
51,0.6878,0.9031,0.7684,1.3988
52,0.6874,0.9031,0.7677,1.3983
53,0.6871,0.9029,0.767,1.3974
54,0.6868,0.9026,0.7665,1.396
55,0.6867,0.9022,0.766,1.3952
56,0.6864,0.9018,0.7655,1.3939
57,0.6863,0.9018,0.765,1.3932
58,0.6861,0.9014,0.7646,1.3921
59,0.686,0.9016,0.7643,1.3916
60,0.6857,0.9016,0.7639,1.3914
